Time,Marker ID,Error X,Error Y,Yaw Error,Height,PID Value X,PID Value Y,PID Value Yaw,Value Z
2024-02-04 19:38:30,20,-2,3,2,32,7,-9,6,-15
2024-02-04 19:38:30,20,-3,3,2,32,15,-9,6,-15
2024-02-04 19:38:30,20,-3,3,2,32,8,-9,6,-15
2024-02-04 19:38:30,20,-3,3,2,37,8,-9,6,-15
2024-02-04 19:38:30,20,-3,3,2,37,8,-9,6,-15
2024-02-04 19:38:30,20,-3,3,2,37,8,-9,6,-15
2024-02-04 19:38:30,20,-3,3,3,36,8,-9,9,-15
2024-02-04 19:38:30,20,-3,3,3,36,8,-9,9,-15
2024-02-04 19:38:30,20,-3,3,3,36,8,-9,9,-15
2024-02-04 19:38:30,20,-3,3,3,35,8,-9,9,-15
2024-02-04 19:38:30,20,-3,3,4,35,8,-9,12,-15
2024-02-04 19:38:30,20,-3,3,4,35,8,-9,12,-15
2024-02-04 19:38:30,20,-3,3,4,35,8,-9,12,-15
2024-02-04 19:38:30,20,-3,3,4,35,8,-9,12,-15
2024-02-04 19:38:30,20,-3,3,4,35,8,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,35,15,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,34,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,34,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,34,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,33,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,33,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,3,33,9,-9,9,-15
2024-02-04 19:38:30,20,-4,3,3,32,9,-9,9,-15
2024-02-04 19:38:30,20,-4,3,4,32,9,-9,12,-15
2024-02-04 19:38:30,20,-4,3,4,32,9,-9,12,-15
2024-02-04 19:38:31,20,-4,3,3,31,9,-9,9,-15
2024-02-04 19:38:31,20,-4,3,3,31,9,-9,9,-15
2024-02-04 19:38:31,20,-4,3,3,31,9,-9,9,-15
2024-02-04 19:38:31,20,-4,3,3,30,9,-9,9,-15
2024-02-04 19:38:31,20,-3,3,3,30,-15,-9,9,-15
2024-02-04 19:38:31,20,-3,3,3,30,8,-9,9,-15
2024-02-04 19:38:31,20,-3,3,3,30,8,-9,9,-15
2024-02-04 19:38:31,20,-3,3,3,29,8,-9,9,-15
2024-02-04 19:38:31,20,-3,3,2,29,8,-9,6,-15
2024-02-04 19:38:31,20,-2,3,2,29,-15,-9,6,-15
2024-02-04 19:38:31,20,-2,3,2,28,7,-9,6,-15
2024-02-04 19:38:31,20,-2,3,2,28,7,-9,6,-15
2024-02-04 19:38:31,20,-2,3,2,28,7,-9,6,-15
2024-02-04 19:38:31,20,-2,3,2,29,7,-9,6,-15
2024-02-04 19:38:31,20,-1,3,2,29,-15,-9,6,-15
2024-02-04 19:38:31,20,-1,3,2,29,6,-9,6,-15
2024-02-04 19:38:31,20,-1,2,2,29,0,0,0,-15
2024-02-04 19:38:31,20,-1,3,1,29,6,-15,3,-15
2024-02-04 19:38:31,20,-1,3,1,29,6,-9,3,-15
2024-02-04 19:38:31,20,-1,3,1,29,6,-9,3,-15
2024-02-04 19:38:31,20,-1,3,1,29,6,-9,3,-15
2024-02-04 19:38:31,20,-1,3,2,29,6,-9,6,-15
2024-02-04 19:38:31,20,0,3,1,29,-15,-9,3,-15
2024-02-04 19:38:31,20,0,3,1,29,0,-9,3,-15
2024-02-04 19:38:31,20,0,2,1,29,0,0,0,-15
2024-02-04 19:38:31,20,1,3,1,29,-15,-15,3,-15
2024-02-04 19:38:31,20,1,3,1,29,-6,-9,3,-15
2024-02-04 19:38:31,20,1,3,2,29,-6,-9,6,-15
2024-02-04 19:38:31,20,1,3,2,29,-6,-9,6,-15
2024-02-04 19:38:31,20,1,3,2,29,-6,-9,6,-15
2024-02-04 19:38:31,20,2,3,1,29,-15,-9,3,-15
2024-02-04 19:38:31,20,2,3,1,30,-7,-9,3,-15
2024-02-04 19:38:32,20,2,2,1,30,0,0,0,-15
2024-02-04 19:38:32,20,3,2,2,30,-15,-8,6,-15
2024-02-04 19:38:32,20,3,2,2,30,-8,-8,6,-15
2024-02-04 19:38:32,20,3,2,2,30,-8,-8,6,-15
2024-02-04 19:38:32,20,3,2,2,30,-8,-8,6,-15
2024-02-04 19:38:32,20,3,2,2,30,-8,-8,6,-15
2024-02-04 19:38:32,20,4,2,2,31,-15,-8,6,-15
2024-02-04 19:38:32,20,4,2,2,31,-9,-8,6,-15
2024-02-04 19:38:32,20,4,1,3,31,-9,15,9,-15
2024-02-04 19:38:32,20,4,2,3,31,-9,-15,9,-15
2024-02-04 19:38:32,20,4,2,3,31,-9,-8,9,-15
2024-02-04 19:38:32,20,4,2,3,31,-9,-8,9,-15
2024-02-04 19:38:32,20,4,2,3,31,-9,-8,9,-15
2024-02-04 19:38:32,20,4,2,3,31,-9,-8,9,-15
2024-02-04 19:38:32,20,4,1,4,31,-9,15,12,-15
2024-02-04 19:38:32,20,4,1,4,31,-9,-7,12,-15
2024-02-04 19:38:32,20,4,1,5,31,-9,-7,15,-15
2024-02-04 19:38:32,20,4,1,5,31,-9,-7,15,-15
